comparaison,ecart_observe,ic95_bas,ic95_haut,part_a_meilleur
xg_logistique - xg_baseline,-0.021973889031531302,-0.030331632022806025,-0.013472273028118712,1.0
xg_boosting - xg_logistique,0.0014138370021327118,-0.004930453560654966,0.007895482672072351,0.318
xg_boosting - xg_statsbomb,0.014815800990950506,0.0047090247147164015,0.025234984300783754,0.0025
