xg_moyen_predit,taux_de_buts_observe,ecart
0.023157911758019418,0.0072992700729927005,-0.015858641685026716
0.032568524402697134,0.014705882352941176,-0.017862642049755958
0.03919388053673754,0.051470588235294115,0.012276707698556578
0.04699110907841228,0.028985507246376812,-0.018005601832035468
0.05620796953183657,0.04477611940298507,-0.0114318501288515
0.0685948852358162,0.0661764705882353,-0.0024184146475808993
0.08332071986694276,0.15441176470588236,0.0710910448389396
0.1081994930344038,0.14705882352941177,0.03885933049500798
0.15713803806091034,0.17647058823529413,0.01933255017438379
0.30411691910014466,0.29927007299270075,-0.004846846107443903
