xg_moyen_predit,taux_de_buts_observe,ecart
0.012507630720327161,0.0,-0.012507630720327161
0.022921627419144733,0.03676470588235294,0.01384307846320821
0.028780798369189634,0.03676470588235294,0.007983907513163309
0.03763306120993024,0.06474820143884892,0.02711514022891868
0.04764317410467692,0.03007518796992481,-0.017567986134752113
0.059512380464769594,0.051470588235294115,-0.00804179222947548
0.07534724794677726,0.08088235294117647,0.005535104994399215
0.10445788119181654,0.08823529411764706,-0.016222587074169473
0.15472762409927746,0.17647058823529413,0.021742964136016674
0.3727115174928267,0.4233576642335766,0.05064614674074991
