xg_moyen_predit,taux_de_buts_observe,ecart
0.014158685486835992,0.0,-0.014158685486835992
0.023341289904390737,0.022058823529411766,-0.001282466374978971
0.030080587474759182,0.03676470588235294,0.00668411840759376
0.03766538171625946,0.04411764705882353,0.006452265342564073
0.047517221301261854,0.03676470588235294,-0.010752515418908912
0.06003797974628085,0.029411764705882353,-0.030626215040398495
0.07729227238688806,0.08823529411764706,0.010943021730759006
0.10594314844907533,0.10294117647058823,-0.003001971978487103
0.16196614788980537,0.19117647058823528,0.029210322698429908
0.3827460468249139,0.43795620437956206,0.05521015755464814
