modele,log_loss,brier,roc_auc
Baseline,0.28025385381724593,0.07995667895114568,0.7673216819101091
Logistique complète,0.2555625292239863,0.07314372316586197,0.8161852153702195
Gradient boosting,0.25495888745790646,0.07303575302503947,0.8192278668236289
xG StatsBomb,0.24487800079689684,0.06945496261964111,0.8333544628573153
